Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Patrick Peterson ,CB,ARI,72,71,47,83,67,41,80,bye,73,63,70,62,58,60,51,56,58
Adrian Clayborn ,DE,ATL,25,39,50,24,bye,34,32,37,39,40,52,40,31,23,29,27,32
Prince Amukamara ,CB,CHI,0,0,37,27,70,73,72,54,bye,66,59,78,74,53,61,59,66
Marcell Dareus ,DT,Multi,34,18,0,24,22,0,41,0,12,27,24,38,29,33,34,38,43
Cameron Heyward ,DE,PIT,52,56,56,57,46,49,47,59,bye,49,55,50,57,55,53,42,0
Von Miller ,LB,DEN,52,57,55,46,bye,50,51,53,50,55,55,67,65,48,47,62,33
Robert Quinn ,LB,LAR,25,45,42,42,43,49,34,bye,36,0,58,46,50,67,30,56,8
Stephen Paea ,DE,DAL,39,46,31,29,0,bye,0,0,0,0,0,0,0,0,0,0,0
J.J. Watt ,DE,HOU,50,58,57,40,12,0,bye,0,0,0,0,0,0,0,0,0,0
Allen Bailey ,DE,KC,65,60,52,37,46,51,63,55,29,bye,0,16,46,30,45,32,0
Justin Houston ,DE,KC,81,70,65,50,52,64,79,63,49,bye,66,62,80,54,59,56,0
Ryan Kerrigan ,DE,WAS,58,37,42,57,bye,56,53,54,56,46,55,46,56,42,63,39,60
Akeem Ayers ,LB,NYG,0,0,0,0,0,0,0,bye,0,0,3,0,0,0,0,1,0
Corey Liuget ,DT,LAC,47,32,20,50,45,21,0,46,bye,47,29,28,0,26,22,0,0
Cameron Jordan ,DE,NO,64,76,50,47,bye,69,52,64,48,31,69,77,53,74,66,64,83
Jimmy Smith ,CB,BAL,54,71,60,53,7,69,50,57,35,bye,58,64,22,0,0,0,0
Muhammad Wilkerson ,DE,NYJ,68,48,39,61,52,53,54,54,53,58,bye,65,36,57,0,0,0
Brooks Reed ,DE,ATL,32,39,22,36,bye,29,33,18,17,19,16,26,26,26,26,29,21
Jabaal Sheard ,DE,IND,50,57,61,56,64,63,56,49,65,56,bye,49,45,56,66,62,46
Bruce Carter ,LB,NYJ,0,0,0,0,0,1,0,1,4,0,bye,4,0,0,0,0,0
Jarvis Jenkins ,DE,KC,0,0,0,9,6,0,11,20,0,bye,19,23,31,26,9,18,48
Marcus Gilchrist ,S,HOU,22,18,28,31,77,56,bye,68,60,49,50,67,54,69,51,50,63
Terrell McClain ,DT,WAS,29,18,21,33,bye,30,27,38,40,34,11,0,0,0,0,13,34
Kelvin Sheppard ,LB,NYG,0,0,0,0,0,0,0,bye,0,26,0,66,54,63,52,68,57
Jurrell Casey ,DE,TEN,50,39,47,62,42,53,55,bye,62,46,58,53,68,56,68,58,48
Mason Foster ,LB,WAS,69,50,0,32,bye,72,65,0,0,0,0,0,0,0,0,0,0
Shareece Wright ,CB,BUF,11,2,1,26,66,bye,30,64,67,73,0,0,0,23,32,60,0
Chris Conte ,S,TB,bye,57,73,65,74,37,39,38,31,38,25,31,25,68,55,57,58
K.J. Wright ,LB,SEA,82,49,73,56,72,bye,50,71,62,74,58,56,75,37,0,74,68
Da'Norris Searcy ,S,TEN,11,43,41,32,52,44,53,bye,24,10,17,14,0,6,16,0,1
Sam Acho ,LB,CHI,39,32,2,6,29,36,38,36,bye,31,34,64,75,40,51,51,75
Chris Prosinski ,S,CHI,0,0,0,0,0,0,0,0,bye,0,0,0,75,49,4,0,0
Davon House ,CB,GB,49,49,0,0,58,0,67,bye,68,61,58,68,74,30,0,49,28
Buster Skrine ,CB,NYJ,74,55,63,75,75,62,70,0,75,69,bye,62,43,67,66,70,85
Karl Klug ,DE,TEN,15,20,0,35,12,13,26,bye,36,12,26,26,26,22,28,12,16
Richard Sherman ,CB,SEA,82,49,73,58,74,bye,59,71,61,46,0,0,0,0,0,0,0
Chris Carter ,LB,WAS,1,0,0,1,bye,0,0,0,0,0,0,0,0,0,0,0,0
Pernell McPhee ,LB,CHI,4,24,27,34,45,37,44,27,bye,35,41,45,7,0,15,0,0
Byron Maxwell ,CB,Multi,0,55,52,0,0,0,0,0,0,0,59,71,75,65,62,72,69
Colin Jones ,S,CAR,0,0,0,7,36,36,27,0,0,0,bye,0,0,13,28,27,39
Lawrence Guy ,DT,NE,26,30,52,46,41,41,26,32,bye,35,31,21,37,54,48,36,27
Julius Peppers ,DE,CAR,26,32,27,34,29,30,20,29,25,22,bye,39,33,42,37,39,35
Dwight Freeney ,LB,Multi,0,0,0,0,0,0,0,18,25,41,17,0,17,24,32,23,30
Terence Newman ,CB,MIN,41,43,33,32,26,51,45,22,bye,48,26,35,20,30,33,41,30
Terrell Suggs ,LB,BAL,49,49,51,47,44,57,51,55,38,bye,49,59,55,68,51,51,71
James Harrison ,LB,Multi,4,0,3,0,0,15,7,0,0,0,0,0,0,11,0,0,27
Deangelo Hall ,S,WAS,0,0,0,0,bye,0,0,0,83,21,53,0,1,0,0,0,0
Karlos Dansby ,LB,ARI,69,69,43,77,62,66,62,bye,66,58,63,53,54,46,11,71,51
Mike Adams ,S,CAR,57,54,58,69,60,62,37,67,51,56,bye,68,61,69,63,60,72
Adam Jones ,CB,CIN,0,61,57,15,15,bye,0,44,49,27,0,26,5,0,0,0,0
Thomas Davis Sr. ,LB,CAR,57,54,45,37,31,55,38,67,60,45,bye,63,25,74,69,0,72
Derrick Johnson ,LB,KC,81,72,55,50,62,64,73,73,53,bye,35,43,57,43,43,41,0
Haloti Ngata ,DT,DET,40,28,34,27,16,0,bye,0,0,0,0,0,0,0,0,0,0
Tamba Hali ,LB,KC,0,0,0,0,0,0,0,0,23,bye,0,13,0,30,19,14,0
Johnathan Joseph ,CB,HOU,42,22,63,30,66,47,bye,61,51,56,53,40,27,50,46,45,47
Darryl Tapp ,DE,Multi,0,0,0,0,0,0,0,0,0,23,18,15,0,0,0,0,0
Frostee Rucker ,DE,ARI,45,42,31,54,44,42,39,bye,29,41,32,38,35,33,34,34,34
Domata Peko Sr. ,DT,DEN,26,19,35,22,bye,36,38,43,43,48,29,38,0,0,26,35,24
Elvis Dumervil ,LB,SF,16,22,10,28,22,15,15,15,15,36,bye,20,14,26,20,42,25
Kyle Williams ,DT,BUF,43,47,54,58,51,bye,45,47,43,53,38,39,44,46,54,45,51
Antoine Bethea ,S,ARI,60,52,30,49,42,49,68,bye,46,59,56,49,55,44,32,49,0
Ahmad Brooks ,LB,GB,6,0,32,37,23,0,0,bye,0,28,26,48,29,33,47,19,19
Tony McDaniel ,DT,Multi,0,0,0,0,0,0,25,15,17,12,0,0,0,0,0,0,22
Alan Branch ,DT,NE,42,6,21,12,0,22,23,26,bye,31,27,23,27,15,0,0,0
Darrelle Revis ,CB,KC,0,0,0,0,0,0,0,0,0,bye,0,0,36,56,24,47,28
Reggie Nelson ,S,OAK,64,57,68,64,66,65,62,69,67,0,60,51,58,75,65,66,70
Paul Posluszny ,LB,JAC,8,44,26,24,18,18,5,bye,17,27,13,53,68,62,21,39,35
Leon Hall ,CB,SF,0,0,0,0,0,0,0,33,35,10,bye,31,10,19,16,38,13
Charles Johnson ,DE,CAR,28,29,31,36,36,43,25,37,31,32,bye,44,0,0,0,0,17
Lawrence Timmons ,LB,MIA,bye,0,0,74,59,57,56,65,63,73,55,53,41,50,43,58,44
David Harris ,LB,NE,2,1,4,0,0,0,19,21,bye,30,28,21,25,0,30,0,0
Eric Weddle ,S,BAL,60,71,73,73,56,80,66,66,52,bye,66,68,60,89,63,62,79
Brandon Mebane ,DT,LAC,45,35,30,48,34,33,27,47,bye,42,24,25,34,25,34,24,27
Michael Johnson ,DE,CIN,24,0,57,39,49,bye,56,24,55,44,48,41,52,56,41,40,59
Justin Durant ,LB,DAL,2,1,32,48,27,bye,0,0,0,0,25,23,0,0,0,0,0
Brian Robison ,DE,MIN,38,48,37,40,33,41,46,40,bye,65,0,16,24,28,32,44,30
Corey Graham ,S,PHI,18,41,0,0,40,7,32,14,18,bye,10,20,23,10,53,13,68
William Gay ,CB,PIT,26,18,10,28,8,21,13,19,bye,16,16,16,13,11,15,12,22
Lorenzo Alexander ,LB,BUF,25,44,41,65,61,bye,60,36,51,58,37,20,30,48,40,30,27
Tramon Williams Sr. ,CB,ARI,3,4,0,0,0,30,80,bye,72,63,70,58,58,53,50,69,57
Brent Grimes ,CB,TB,bye,57,0,79,74,63,67,0,0,69,64,64,54,68,68,59,58
Cliff Avril ,DE,SEA,59,28,53,11,0,bye,0,0,0,0,0,0,0,0,0,0,0
Calais Campbell ,DE,JAC,63,64,32,64,58,48,43,bye,33,61,45,57,57,38,29,57,53
Chris Long ,DE,PHI,26,20,28,22,29,41,38,34,36,bye,31,27,26,18,38,40,42
Dominique Rodgers-Cromartie ,CB,NYG,52,62,61,52,40,0,16,bye,51,29,48,45,41,25,38,26,20
Aqib Talib ,CB,DEN,58,69,62,54,bye,54,44,59,62,56,50,5,0,50,52,65,10
Pat Sims ,DT,CIN,30,32,10,7,30,bye,40,25,6,0,0,15,31,30,15,8,25
Tyvon Branch ,DB,ARI,72,71,47,84,66,70,80,bye,74,15,0,0,0,0,0,0,0
William Hayes ,DE,MIA,bye,25,24,32,24,14,27,34,30,35,26,0,0,0,0,0,0
Quintin Demps ,S,CHI,59,71,47,0,0,0,0,0,bye,0,0,0,0,0,0,0,0
Brandon Carr ,CB,BAL,61,69,59,75,56,78,66,66,51,bye,27,65,61,86,63,62,78
Orlando Scandrick ,CB,DAL,9,0,70,69,58,bye,58,58,56,56,63,67,51,0,0,0,0
Erik Walden ,LB,TEN,30,36,38,36,33,41,29,bye,30,28,32,24,39,56,64,34,31
Ahtyba Rubin ,DT,Multi,0,0,0,5,0,8,0,21,15,12,15,16,24,10,11,17,8
Wesley Woodyard ,LB,TEN,50,44,60,79,51,58,73,bye,76,51,75,63,76,63,70,67,60
Leger Douzable ,DT,SF,0,0,0,0,0,0,47,57,56,38,bye,0,23,0,0,0,0
Cameron Wake ,LB,MIA,bye,33,40,46,35,43,32,34,33,40,40,40,33,41,39,51,30
Malcolm Jenkins ,S,PHI,63,53,70,58,60,82,64,66,55,bye,63,44,62,48,87,67,6
Rey Maualuga ,LB,MIA,bye,0,0,0,31,16,25,48,27,32,0,0,0,0,0,0,0
Brian Orakpo ,LB,TEN,52,44,51,57,44,51,58,bye,64,41,54,46,60,53,63,53,45
Vontae Davis ,CB,IND,0,0,0,68,72,69,65,56,0,0,bye,0,0,0,0,0,0
Brian Cushing ,LB,HOU,32,0,0,0,0,0,bye,0,0,0,0,0,0,39,42,25,25
Sean Smith ,CB,OAK,48,0,3,60,62,0,19,29,53,0,43,57,60,74,59,66,68
Darius Butler ,CB,IND,54,0,37,15,30,12,23,33,63,52,bye,23,39,15,43,35,30
Clay Matthews ,LB,GB,43,52,49,45,67,65,57,bye,42,53,13,0,56,49,43,0,23
Patrick Chung ,S,NE,45,63,52,34,72,67,55,51,bye,55,68,61,60,65,66,70,45
Dannell Ellerbe ,LB,PHI,0,0,0,0,0,0,0,0,0,bye,0,0,1,0,0,27,48
Ziggy Hood ,DT,WAS,30,19,18,44,bye,43,39,48,59,49,36,35,36,40,32,11,0
Robert Ayers ,DE,TB,bye,48,61,55,48,47,52,51,47,48,43,0,0,55,32,0,0
Jairus Byrd ,S,CAR,0,0,0,0,24,26,10,0,9,0,bye,12,0,6,12,4,33
Connor Barwin ,DE,LAR,36,60,68,56,54,50,43,bye,48,48,62,17,0,0,41,65,8
Michael Mitchell ,S,PIT,44,64,55,0,47,54,45,38,bye,37,0,55,0,63,59,54,64
Roy Miller ,DT,KC,13,9,13,5,7,10,0,0,20,bye,0,0,0,0,0,0,0
Lardarius Webb ,CB,BAL,46,47,28,48,40,24,26,28,4,bye,18,22,15,7,5,4,12
Glover Quin ,S,DET,75,56,68,56,66,37,bye,64,59,81,63,74,64,71,69,83,68
Brandon Williams ,LB,ARI,0,0,0,0,0,1,0,bye,0,0,0,0,0,0,0,0,0
Brice McCain ,CB,TEN,56,20,42,25,1,12,19,bye,9,22,33,20,39,22,26,67,0
Jason McCourty ,CB,CLE,60,68,66,64,52,66,0,0,bye,52,77,60,69,75,73,61,56
Captain Munnerlyn ,CB,CAR,33,29,11,33,30,18,10,33,21,31,bye,0,26,58,0,25,29
Ricky Jean-Francois ,DE,Multi,6,0,12,23,7,7,5,0,0,11,25,4,0,0,20,18,10
Ramon Humber ,LB,BUF,57,64,65,29,0,bye,0,0,50,69,50,45,48,20,24,26,22
Jonathan Casillas ,LB,NYG,62,53,68,62,35,0,0,bye,0,58,58,60,0,0,0,0,0
Michael Bennett ,DE,SEA,66,42,64,51,60,bye,52,59,58,68,55,54,67,57,52,68,58
Ndamukong Suh ,DE,MIA,bye,53,54,67,45,48,53,54,55,59,57,59,49,61,52,65,46
Eric Berry ,S,KC,70,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0
Gerald McCoy ,DT,TB,bye,40,63,67,66,59,66,59,54,53,53,60,55,12,0,49,50
Joe Haden ,CB,PIT,65,64,64,69,53,53,50,69,bye,10,0,0,0,0,0,54,62
Derrick Morgan ,LB,TEN,57,46,51,65,49,27,59,bye,52,42,63,50,62,0,0,45,48
Carlos Dunlap ,DE,CIN,55,53,54,54,55,bye,51,67,54,76,61,53,61,44,38,46,54
Brandon Graham ,DE,PHI,43,38,46,45,43,62,44,43,41,bye,44,34,47,36,62,36,0
Everson Griffen ,DE,MIN,53,60,47,60,56,55,59,54,bye,0,45,55,50,61,39,50,49
Earl Thomas ,S,SEA,82,49,73,56,74,bye,59,64,0,0,62,56,75,66,65,69,71
Jason Pierre-Paul ,DE,NYG,67,59,70,64,71,68,73,bye,54,54,71,64,63,51,63,65,53
Sean Weatherspoon ,LB,ATL,0,0,0,0,bye,0,0,0,0,4,2,0,0,0,0,0,0
Brian Price ,DT,DAL,11,33,18,21,14,bye,25,20,9,0,0,0,0,0,0,0,0
Navorro Bowman ,LB,Multi,66,82,65,83,58,0,60,69,67,0,51,59,62,75,64,66,70
Patrick Robinson ,CB,PHI,52,32,62,33,46,80,46,18,52,bye,43,38,32,48,47,40,42
Devin McCourty ,S,NE,67,65,71,63,72,76,57,56,bye,63,74,64,56,73,66,70,40
Jerry Hughes ,DE,BUF,46,46,47,55,51,bye,50,42,49,25,39,40,52,48,47,45,53
Nate Allen ,S,MIA,bye,58,45,74,59,57,55,14,0,0,0,0,0,0,0,0,0
Kareem Jackson ,S,HOU,45,59,62,28,74,53,bye,66,65,58,49,54,45,58,46,54,52
Morgan Burnett ,S,GB,49,58,61,65,47,0,0,bye,43,0,0,74,76,58,71,64,58
Sean Lee ,LB,DAL,57,77,76,0,0,bye,49,57,54,8,0,0,0,66,66,57,56
Geno Atkins ,DT,CIN,41,50,55,49,49,bye,41,57,57,69,54,47,46,12,28,50,49
Tyson Alualu ,DT,PIT,54,53,57,14,13,7,41,53,bye,12,15,7,11,14,18,17,49
T.J. Ward ,S,TB,bye,28,46,0,0,36,24,27,39,31,39,33,0,0,21,61,20
Willie Young ,LB,CHI,20,31,39,29,0,0,0,0,bye,0,0,0,0,0,0,0,0
Lamarr Houston ,LB,Multi,0,0,0,0,0,9,0,38,45,29,25,0,68,38,41,40,44
Linval Joseph ,DT,MIN,35,48,29,43,42,39,41,36,bye,58,41,39,40,52,30,46,45
Earl Mitchell ,DT,SF,38,50,49,40,47,49,38,51,48,25,bye,43,18,25,28,35,39
Corey Peters ,DT,ARI,44,44,35,57,31,37,39,bye,32,30,0,0,0,0,30,32,32
Alterraun Verner ,CB,MIA,bye,0,9,1,0,0,0,0,0,0,0,14,46,50,28,9,0
Al Woods ,DT,IND,38,31,27,31,40,45,34,27,32,34,bye,39,42,50,37,36,22
Kam Chancellor ,S,SEA,82,49,73,56,74,bye,59,71,63,71,0,0,0,0,0,0,0
Nolan Carroll ,CB,DAL,57,25,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0
Cam Thomas ,DT,KC,0,0,0,0,0,0,0,0,0,bye,15,0,0,0,0,0,0
Arthur Jones ,DT,WAS,0,0,0,0,bye,0,0,0,23,0,0,0,0,0,0,0,0
Reshad Jones ,S,MIA,bye,58,63,70,58,57,56,62,63,68,66,69,61,61,62,74,67
Arthur Moats ,LB,PIT,4,2,3,2,2,0,0,5,bye,2,15,2,10,19,0,0,18
Dekoda Watson ,LB,SF,15,1,0,13,0,0,9,12,15,21,bye,0,0,0,0,2,0
Kurt Coleman ,S,CAR,57,54,58,23,0,0,0,67,60,56,bye,71,64,74,69,64,0
Robert McClain ,CB,TB,bye,43,52,59,59,32,65,0,60,0,47,37,41,54,44,59,38
Barry Church ,S,JAC,76,68,48,70,74,58,58,bye,39,68,54,72,69,61,48,65,58
Frank Zombo ,LB,KC,7,7,44,47,53,30,6,45,62,bye,69,50,74,23,38,33,0
Sherrick McManis ,CB,CHI,0,0,1,0,2,0,0,0,bye,0,0,9,3,5,6,0,5
Junior Galette ,LB,WAS,16,19,15,26,bye,24,27,16,31,19,34,19,19,35,33,42,32
Kyle Love ,DT,CAR,14,20,23,32,28,19,16,26,21,17,bye,28,30,25,22,24,31
Darian Stewart ,S,DEN,46,63,62,49,bye,53,57,61,62,63,52,61,65,50,54,67,23
Andrew Sendejo ,S,MIN,62,75,53,70,61,0,65,0,bye,55,0,59,53,64,38,67,56
Rafael Bush ,S,NO,0,2,2,5,bye,21,2,4,0,21,21,24,13,0,4,27,35
Nick Bellore ,LB,DET,0,0,35,42,10,3,bye,16,0,1,0,4,3,0,0,3,2
Tom Johnson ,DE,MIN,45,54,40,43,42,39,35,42,bye,53,33,45,34,33,37,60,40
Bryan Braman ,LB,Multi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Mario Addison ,DE,CAR,36,38,45,45,31,24,18,46,45,38,bye,44,46,52,47,44,51
Mitch Unrein ,DT,CHI,31,35,31,25,29,40,28,38,bye,50,27,41,15,0,0,0,0
Chris Harris Jr. ,CB,DEN,55,69,60,51,bye,54,46,52,59,58,49,64,66,50,54,67,15
Ron Parker ,S,KC,81,72,73,50,64,64,82,73,67,bye,69,69,91,61,60,56,0
Clinton McDonald ,DT,TB,bye,24,45,32,37,25,20,27,29,33,27,27,0,0,54,43,38
Tramaine Brock ,CB,MIN,0,0,13,1,0,0,0,0,bye,14,11,2,0,0,10,0,0
Vincent Rey ,LB,CIN,51,66,61,15,3,bye,32,20,37,73,10,0,0,70,52,49,67
Marcus Sherels ,CB,MIN,0,0,0,0,0,0,0,0,bye,0,11,0,0,1,9,0,0
Sterling Moore ,CB,NO,0,32,0,0,bye,0,0,0,0,0,0,25,39,6,0,0,2
Josh Bynes ,LB,ARI,30,15,9,0,2,1,17,bye,1,1,2,57,58,11,30,0,0
Melvin Ingram III ,DE,LAC,59,50,45,67,59,50,51,78,bye,80,40,44,57,36,61,58,54
Nick Perry ,LB,GB,42,53,0,33,48,57,54,bye,38,48,39,50,56,0,24,0,0
Andre Branch ,DE,MIA,bye,43,40,50,39,48,18,0,36,39,41,40,36,50,0,35,47
Chandler Jones ,LB,ARI,72,67,45,84,66,69,76,bye,73,61,70,62,58,60,51,71,58
Whitney Mercilus ,LB,HOU,55,51,64,26,7,0,bye,0,0,0,0,0,0,0,0,0,0
Vinny Curry ,DE,PHI,37,33,46,31,34,40,27,32,34,bye,34,26,35,30,46,49,43
Jerel Worthy ,DT,BUF,0,0,0,23,0,bye,29,14,23,26,0,0,0,0,0,0,0
Dontari Poe ,DT,ATL,43,43,51,46,bye,52,57,47,51,50,61,55,51,45,44,53,45
Fletcher Cox ,DT,PHI,43,44,18,0,0,65,51,45,40,bye,46,35,51,37,69,60,3
Michael Brockers ,DT,LAR,32,51,60,58,54,46,31,bye,36,45,59,41,41,72,36,55,11
Courtney Upshaw ,LB,ATL,18,1,0,0,bye,0,19,9,17,19,20,25,24,8,13,13,11
Sean Spence ,LB,Multi,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,43,43
Bruce Irvin ,DE,OAK,63,39,54,58,49,58,59,62,64,0,46,49,50,51,58,61,60
Lavonte David ,LB,TB,bye,53,70,0,0,61,67,65,60,69,64,64,55,68,0,61,56
Keenan Robinson ,LB,NYG,0,0,54,19,59,68,67,bye,25,0,0,0,0,0,0,0,0
Zach Brown ,LB,WAS,69,49,51,74,bye,72,65,68,82,61,71,55,61,56,0,0,0
Vontaze Burfict ,LB,CIN,0,0,0,52,67,bye,69,74,75,29,77,70,49,0,0,26,0
Luke Kuechly ,LB,CAR,57,54,58,70,61,30,0,67,60,45,bye,71,64,74,69,64,72
Dont'a Hightower ,LB,NE,35,0,0,37,62,69,34,0,bye,0,0,0,0,0,0,0,0
Bobby Wagner ,LB,SEA,82,49,73,56,74,bye,59,71,64,80,62,56,75,31,46,74,71
Morris Claiborne ,CB,NYJ,75,57,54,78,76,67,73,43,0,16,bye,67,46,58,66,70,73
Dre Kirkpatrick ,CB,CIN,65,66,63,48,6,bye,66,62,65,88,76,63,66,0,0,61,73
Janoris Jenkins ,CB,NYG,74,0,65,64,76,78,67,bye,0,61,75,59,0,0,0,0,0
Mark Barron ,LB,LAR,41,68,79,68,68,69,32,bye,58,63,78,56,57,85,3,0,0
Harrison Smith ,S,MIN,62,75,53,70,61,66,65,59,bye,75,48,59,53,65,38,67,56
George Iloka ,S,CIN,58,66,53,41,68,bye,54,42,73,90,81,70,66,76,14,61,76
Stephon Gilmore ,CB,NE,68,65,60,62,71,0,0,0,bye,63,58,61,53,73,66,70,47
Leonard Johnson ,CB,BUF,46,46,54,46,15,bye,53,59,31,17,36,58,35,0,62,51,64
Casey Hayward ,CB,LAC,64,68,53,77,69,58,64,85,bye,75,37,55,63,49,66,64,54
Derek Wolfe ,DE,DEN,42,52,51,45,bye,43,46,43,54,40,40,2,0,0,0,0,0
Mychal Kendricks ,LB,PHI,23,20,49,24,28,55,0,52,48,bye,56,38,53,38,61,54,15
Tavon Wilson ,S,DET,74,23,0,25,66,65,bye,64,47,75,62,45,0,0,0,0,0
Trumaine Johnson ,CB,LAR,35,64,76,69,68,67,45,bye,55,61,78,57,64,73,46,68,8
Josh Robinson ,CB,TB,bye,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Vernon ,DE,NYG,72,60,59,22,0,0,0,bye,0,54,62,62,65,59,64,66,53
Demario Davis ,LB,NYJ,77,57,63,78,76,68,73,66,75,71,bye,71,47,70,67,72,85
Tyrone Crawford ,DT,DAL,23,37,52,40,37,bye,38,36,40,39,41,32,35,46,57,41,33
John Hughes ,DT,NO,0,0,0,0,bye,0,0,11,0,17,5,36,22,33,23,12,0
Akiem Hicks ,DE,CHI,49,49,56,45,60,64,63,59,bye,66,61,54,70,48,51,48,56
Nigel Bradham ,LB,PHI,63,53,70,57,45,78,64,66,55,bye,63,44,62,48,87,67,0
Kyle Wilber ,LB,DAL,0,3,1,2,13,bye,7,1,0,4,8,0,0,0,1,0,0
Coty Sensabaugh ,CB,PIT,0,0,0,0,0,0,0,0,bye,49,64,54,40,35,0,0,0
