,Player,Team,Year,09/10vs. NYJ,09/16vs. SFO,09/23vs. NWE,09/30vs. DAL,10/07vs. GNB,10/21vs. MIA,10/28vs. SEA,11/04vs. MIN,11/11vs. CHI,11/18vs. CAR,11/22vs. CHI,12/02vs. LAR,12/09vs. ARI,12/16vs. BUF,12/23vs. MIN,12/30vs. GNB
0,Jamal Agnew,det,2018,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Questionable: Knee,Questionable: Knee
1,Ezekiel Ansah,det,2018,,Questionable: Shoulder,Questionable: Shoulder,Out: Shoulder,Out: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
2,Brandon Barnes,det,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
3,Trevor Bates,det,2018,,,,,,,,,,,,Questionable: Ankle,Out: Ankle,Questionable: Ankle,,
4,Nick Bawden,det,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
5,Nick Bellore,det,2018,,,,,,,,,,,,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,
6,LeGarrette Blount,det,2018,,Questionable: Shoulder,,,,,,,,,,,,,Questionable: Calf,Questionable: Knee
7,Marcus Cooper,det,2018,,,,,,,,,,,,,,Questionable: Back,,
8,Marcus Cromartie,det,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
9,Jarrad Davis,det,2018,,,,Questionable: Knee,,,Questionable: Calf,,,,,,,,,
10,Taylor Decker,det,2018,,,,,,,,,,,,,,Questionable: Shoulder,,
11,Quandre Diggs,det,2018,,,,,Questionable: Hand,,,,,,,,,,,Questionable: Back
12,Andrew Donnal,det,2018,Out: Knee,Out: Knee,Out: Knee,,,,,,,,,,,,,
13,Bruce Ellington,det,2018,,,,,,,,,,,Questionable: Back,Questionable: Back,Questionable: Back,Injured Reserve: Hamstring,Out: Hamstring,Injured Reserve: Hamstring
14,Kenny Golladay,det,2018,,,,,,,,,,,,,,,Questionable: Chest,Questionable: Chest
15,Da'Shawn Hand,det,2018,,,,,Questionable: Ankle,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
16,Eli Harold,det,2018,,,Questionable: Hip,,Questionable: NotInjuryRelated,,,,Doubtful: Shoulder,,,,,,,
17,Damon Harrison,det,2018,,,,,,,,,,Questionable: Shoulder,Questionable: Shoulder,,,,Questionable: Ankle,Questionable: Ankle
18,Kerry Hyder,det,2018,,,,,,,,,,,,,Questionable: Illness,,,
19,Kerryon Johnson,det,2018,,,,,,,,,Questionable: Ankle,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
20,Andy Jones,det,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,Injured Reserve: Undisclosed,,,,,,,
21,Marvin Jones ,det,2018,,,Questionable: Ankle,,Questionable: Ankle,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
22,Devon Kennard,det,2018,,,,,,,,,,,,,Questionable: Hip,Questionable: Hip,Questionable: Hip,
23,T.J. Lang,det,2018,,Out: Back,Questionable: Back,,Out: Concussion,Questionable: Concussion,,Questionable: Hip,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
24,Nevin Lawson,det,2018,,,,,Questionable: Illness,,,,,,,,,,,Questionable: Ankle
25,Steve Longa ,det,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
26,Brandon Powell,det,2018,,,,,,,,,,,,Out: Calf,Questionable: Calf,,,
27,Jalen Reeves-Maybin,det,2018,,,,,,,,Doubtful: Toe,Questionable: Neck,,Questionable: Neck,Questionable: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
28,Theo Riddick,det,2018,,,,,,Out: Knee,Out: Knee,,,,,,,,,
29,Michael Roberts ,det,2018,,,Questionable: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,Out: Shoulder,Questionable: Shoulder,Doubtful: Shoulder,Questionable: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
30,A'Shawn Robinson,det,2018,,,,,,,,,,Out: Ankle,Questionable: Ankle,,,,,Out: Knee
31,DeShawn Shead,det,2018,,,,,,,,,,,,,,,,Out: Knee
32,Darius Slay,det,2018,,,Questionable: Concussion,,,,,Questionable: Knee,Out: Knee,,Questionable: Knee,,Questionable: Ankle,,,
33,Matthew Stafford,det,2018,,,,,,,,,,,,,Questionable: Back,Questionable: Back,Questionable: Back,
34,Golden Tate,det,2018,,,,Questionable: Hip,,,,,,,,,,,,
35,Ricky Wagner,det,2018,,,,,,,,,,,,,,Out: Concussion,,
36,Tracy Walker,det,2018,,,,,Questionable: Ankle,,,,,,,,,,,
37,Charles Washington,det,2018,,,,,,,,,,,,,,Injured Reserve: Hamstring,Out: Hamstring,Injured Reserve: Hamstring
38,Cornelius Washington,det,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
39,Luke Willson,det,2018,,,,,,,,,Questionable: Shoulder,,,,,,,Out: Concussion
40,Tavon Wilson,det,2018,,,,,Questionable: Back,,,,,,,,,,,
41,Zach Zenner,det,2018,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,,,,,,,,
