Start Date,Week
"Thursday, September 8, 2011",1
"Thursday, September 15, 2011",2
"Thursday, September 22, 2011",3
"Thursday, September 29, 2011",4
"Thursday, October 6, 2011",5
"Thursday, October 13, 2011",6
"Thursday, October 20, 2011",7
"Thursday, October 27, 2011",8
"Thursday, November 3, 2011",9
"Thursday, November 10, 2011",10
"Thursday, November 17, 2011",11
"Thursday, November 24, 2011",12
"Thursday, December 1, 2011",13
"Thursday, December 8, 2011",14
"Thursday, December 15, 2011",15
"Thursday, December 22, 2011",16
"Thursday, December 29, 2011",17
"Thursday, September 6, 2012",1
"Thursday, September 13, 2012",2
"Thursday, September 20, 2012",3
"Thursday, September 27, 2012",4
"Thursday, October 4, 2012",5
"Thursday, October 11, 2012",6
"Thursday, October 18, 2012",7
"Thursday, October 25, 2012",8
"Thursday, November 1, 2012",9
"Thursday, November 8, 2012",10
"Thursday, November 15, 2012",11
"Thursday, November 22, 2012",12
"Thursday, November 29, 2012",13
"Thursday, December 6, 2012",14
"Thursday, December 13, 2012",15
"Thursday, December 20, 2012",16
"Thursday, December 27, 2012",17
"Thursday, September 5, 2013",1
"Thursday, September 12, 2013",2
"Thursday, September 19, 2013",3
"Thursday, September 26, 2013",4
"Thursday, October 3, 2013",5
"Thursday, October 10, 2013",6
"Thursday, October 17, 2013",7
"Thursday, October 24, 2013",8
"Thursday, October 31, 2013",9
"Thursday, November 7, 2013",10
"Thursday, November 14, 2013",11
"Thursday, November 21, 2013",12
"Thursday, November 28, 2013",13
"Thursday, December 5, 2013",14
"Thursday, December 12, 2013",15
"Thursday, December 19, 2013",16
"Thursday, December 26, 2013",17
"Thursday, September 4, 2014",1
"Thursday, September 11, 2014",2
"Thursday, September 18, 2014",3
"Thursday, September 25, 2014",4
"Thursday, October 2, 2014",5
"Thursday, October 9, 2014",6
"Thursday, October 16, 2014",7
"Thursday, October 23, 2014",8
"Thursday, October 30, 2014",9
"Thursday, November 6, 2014",10
"Thursday, November 13, 2014",11
"Thursday, November 20, 2014",12
"Thursday, November 27, 2014",13
"Thursday, December 4, 2014",14
"Thursday, December 11, 2014",15
"Thursday, December 18, 2014",16
"Thursday, December 25, 2014",17
"Thursday, September 10, 2015",1
"Thursday, September 17, 2015",2
"Thursday, September 24, 2015",3
"Thursday, October 1, 2015",4
"Thursday, October 8, 2015",5
"Thursday, October 15, 2015",6
"Thursday, October 22, 2015",7
"Thursday, October 29, 2015",8
"Thursday, November 5, 2015",9
"Thursday, November 12, 2015",10
"Thursday, November 19, 2015",11
"Thursday, November 26, 2015",12
"Thursday, December 3, 2015",13
"Thursday, December 10, 2015",14
"Thursday, December 17, 2015",15
"Thursday, December 24, 2015",16
"Thursday, December 31, 2015",17
"Thursday, September 8, 2016",1
"Thursday, September 15, 2016",2
"Thursday, September 22, 2016",3
"Thursday, September 29, 2016",4
"Thursday, October 6, 2016",5
"Thursday, October 13, 2016",6
"Thursday, October 20, 2016",7
"Thursday, October 27, 2016",8
"Thursday, November 3, 2016",9
"Thursday, November 10, 2016",10
"Thursday, November 17, 2016",11
"Thursday, November 24, 2016",12
"Thursday, December 1, 2016",13
"Thursday, December 8, 2016",14
"Thursday, December 15, 2016",15
"Thursday, December 22, 2016",16
"Thursday, December 29, 2016",17
"Thursday, September 7, 2017",1
"Thursday, September 14, 2017",2
"Thursday, September 21, 2017",3
"Thursday, September 28, 2017",4
"Thursday, October 5, 2017",5
"Thursday, October 12, 2017",6
"Thursday, October 19, 2017",7
"Thursday, October 26, 2017",8
"Thursday, November 2, 2017",9
"Thursday, November 9, 2017",10
"Thursday, November 16, 2017",11
"Thursday, November 23, 2017",12
"Thursday, November 30, 2017",13
"Thursday, December 7, 2017",14
"Thursday, December 14, 2017",15
"Thursday, December 21, 2017",16
"Thursday, December 28, 2017",17
"Thursday, September 6, 2018",1
"Thursday, September 13, 2018",2
"Thursday, September 20, 2018",3
"Thursday, September 27, 2018",4
"Thursday, October 4, 2018",5
"Thursday, October 11, 2018",6
"Thursday, October 18, 2018",7
"Thursday, October 25, 2018",8
"Thursday, November 1, 2018",9
"Thursday, November 8, 2018",10
"Thursday, November 15, 2018",11
"Thursday, November 22, 2018",12
"Thursday, November 29, 2018",13
"Thursday, December 6, 2018",14
"Thursday, December 13, 2018",15
"Thursday, December 20, 2018",16
"Thursday, December 27, 2018",17
"Thursday, September 5, 2019",1
"Thursday, September 12, 2019",2
"Thursday, September 19, 2019",3
"Thursday, September 26, 2019",4
"Thursday, October 3, 2019",5
"Thursday, October 10, 2019",6
"Thursday, October 17, 2019",7
"Thursday, October 24, 2019",8
"Thursday, October 31, 2019",9
"Thursday, November 7, 2019",10
"Thursday, November 14, 2019",11
"Thursday, November 21, 2019",12
"Thursday, November 28, 2019",13
"Thursday, December 5, 2019",14
"Thursday, December 12, 2019",15
"Thursday, December 19, 2019",16
"Thursday, December 26, 2019",17
"Thursday, September 10, 2020",1
"Thursday, September 17, 2020",2
"Thursday, September 24, 2020",3
"Thursday, October 1, 2020",4
"Thursday, October 8, 2020",5
"Thursday, October 15, 2020",6
"Thursday, October 22, 2020",7
"Thursday, October 29, 2020",8
"Thursday, November 5, 2020",9
"Thursday, November 12, 2020",10
"Thursday, November 19, 2020",11
"Thursday, November 26, 2020",12
"Thursday, December 3, 2020",13
"Thursday, December 10, 2020",14
"Thursday, December 17, 2020",15
"Thursday, December 24, 2020",16
"Thursday, December 31, 2020",17
"Thursday, September 9, 2021",1
"Thursday, September 16, 2021",2
"Thursday, September 23, 2021",3
"Thursday, September 30, 2021",4
"Thursday, October 7, 2021",5
"Thursday, October 14, 2021",6
"Thursday, October 21, 2021",7
"Thursday, October 28, 2021",8
"Thursday, November 4, 2021",9
"Thursday, November 11, 2021",10
"Thursday, November 18, 2021",11
"Thursday, November 25, 2021",12
"Thursday, December 2, 2021",13
"Thursday, December 9, 2021",14
"Thursday, December 16, 2021",15
"Thursday, December 23, 2021",16
"Thursday, December 30, 2021",17
"Thursday, January 6, 2022",18
