,Player,Team,Year,09/09vs. DEN,09/17vs. CHI,09/23vs. DAL,09/30vs. ARI,10/07vs. LAR,10/14vs. OAK,10/28vs. DET,11/04vs. LAC,11/11vs. LAR,11/15vs. GNB,11/25vs. CAR,12/02vs. SFO,12/10vs. MIN,12/16vs. SFO,12/23vs. KAN,12/30vs. ARI,01/05vs. DAL
0,Maurice Alexander,sea,2018,,,,,,,,,,Questionable: Elbow,,,,Out: Concussion,,,
1,Ricky Ali'ifua,sea,2018,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
2,Doug Baldwin ,sea,2018,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,Questionable: Groin,,Questionable: Hip,Questionable: Hip,,,
3,Emmanuel Beal,sea,2018,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
4,Justin Britt,sea,2018,,,Questionable: Shoulder,,,,,,,,,,,,,,
5,Chris Carson,sea,2018,,,,Questionable: Hip,,,,Questionable: Hip,Questionable: Hip,,,,,,,,
6,Kam Chancellor ,sea,2018,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck,Injured Reserve: Neck
7,Frank Clark ,sea,2018,,,,,Questionable: Illness,,,,,,,,,,,,
8,Amara Darboh,sea,2018,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
9,Austin Davis ,sea,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
10,Ed Dickson,sea,2018,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,,,,,,,,,,,
11,Will Dissly,sea,2018,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
12,Tre Flowers,sea,2018,,Doubtful: Hamstring,,,,,,,,,,,,,,,
13,D.J. Fluker,sea,2018,Out: Hamstring,Doubtful: Hamstring,,,,,,,Questionable: Calf,,,,Doubtful: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,Questionable: Hamstring,
14,Jermaine Grace,sea,2018,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
15,Rasheem Green,sea,2018,,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,,,,
16,T.J. Green,sea,2018,,,,,,,,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal
17,Shaquill Griffin ,sea,2018,,Questionable: Thigh,,,,,,,,,,,,,Questionable: Hip,,
18,Khalid Hill,sea,2018,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
19,Lano Hill,sea,2018,,Doubtful: Hamstring,,Questionable: Hamstring,,,,,,Questionable: Quadricep,,,,,,,Injured Reserve: Hip
20,Germain Ifedi,sea,2018,,,,,,,,,,,,,,,Questionable: Groin,,
21,Dontae Johnson,sea,2018,Questionable: Hip,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
22,Jamarco Jones,sea,2018,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
23,Nazair Jones,sea,2018,,,,,,,,,Questionable: Illness,,,,,,,,
24,Dion Jordan,sea,2018,,,,Questionable: Hip,,Questionable: Knee,,,,Questionable: Knee,,,,,,Questionable: Knee,
25,Mychal Kendricks,sea,2018,,,Questionable: Ankle,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
26,Shalom Luani,sea,2018,,,,,,,,,,,,Doubtful: Quadricep,,,,,
27,Tre Madden,sea,2018,,,,,,,,,,,,Doubtful: Chest,Questionable: Chest,,,,
28,Byron Maxwell,sea,2018,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
29,Bradley McDougald,sea,2018,,,,,,,,Questionable: Knee,Questionable: Knee,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,
30,Malik McDowell ,sea,2018,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head,Injured Reserve: Head
31,J.D. McKissic,sea,2018,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,,,,,
32,T.J. Mutcherson,sea,2018,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
33,Tyler Ott,sea,2018,,,,,,,,,,,,,,,Questionable: Illness,,
34,Rashaad Penny,sea,2018,,,,,,,,,,,,,Questionable: Ankle,Out: Knee,Questionable: Knee,Questionable: Knee,
35,Ethan Pocic,sea,2018,,,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,,,,,,,,,,,
36,C.J. Prosise,sea,2018,,,,Doubtful: Abdomen,,,,,,,,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal,Injured Reserve: Abdominal
37,Jarran Reed,sea,2018,,,,,,,,,,,,,,Questionable: Oblique,Questionable: Groin,,
38,Jordan Simmons,sea,2018,,,,,,,Doubtful: Calf,Doubtful: Calf,Questionable: Calf,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
39,Shamar Stephen,sea,2018,,,,,,,,,Questionable: Foot,,,Questionable: Foot,,,,,
40,J.R. Sweezy,sea,2018,,,,,,,,,,,,,,,,Doubtful: Foot,
41,Earl Thomas,sea,2018,,,,,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout,Injured Reserve: Holdout
42,Tedric Thompson,sea,2018,,,,,,,,,,,,,,,Out: Chest,Questionable: Ankle,
43,Neiko Thorpe,sea,2018,,,,,,,Doubtful: Groin,Doubtful: Groin,Doubtful: Groin,Questionable: Groin,,,,,,,
44,Nick Vannett,sea,2018,,,,,,Questionable: Back,,,,,,,,,,,
45,Bobby Wagner,sea,2018,,Out: Groin,,,,,,,,,,,,,,,
46,Erik Walden,sea,2018,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
47,K.J. Wright,sea,2018,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Out: Knee,,Questionable: Knee,Questionable: Knee,Doubtful: Knee,Out: Knee,Out: Knee,Out: Knee,Out: Knee,,,
